fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You refusing to pick up after yourself in a cafeteria.,negative,uncooperative,Refusing to pick up after yourself in a cafeteria.,you refusing pick cafeteria,refusing,refusing you, ,,to be at home,"[['none'], ['have', 'fun'], ['mean'], ['play'], ['the', 'best'], ['with', 'someone'], ['a', 'good', 'friend'], ['have', 'fun', '.'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'the', 'other', 'person', 'feel', 'better']]","['tease', 'blunder', 'triage', 'litter', 'scrap', 'plan', 'beef', 'black', 'blow', 'dilemma', 'preferred', 'stop', 'stops', 'trade', 'trades', 'eat', 'mull', 'mulling', 'bun', 'menu', 'snack', 'urn', 'automat', 'food', 'mess', 'cook', 'slop', 'balking', 'boycott', 'denied', 'have', 'intolerant', 'mugwump', 'nonjuror', 'pass', 'passed', 'refusal', 'cafeteria tray', 'milk', 'ali', 'cling', 'hang', 'mistake', 'mute', 'negative', 'not', 'ostrich', 'smith', 'aroma', 'ate', 'bag', 'jello', 'meal', 'pea', 'service', 'she', 'wild', 'dunker', 'ratting', 'religion', 'snow', 'unrelenting', 'decaf', 'discover', 'entree', 'iron', 'latte', 'malt', 'mocha', 'pie', 'rye', 'taco', 'clinging', 'indifferent', 'martyr', 'a la carte', 'african tea', 'arabian tea', 'aspalathus cedcarbergensis', 'aspalathus linearis', 'aster', 'ayapana', 'ayapana triplinervis', 'bait', 'ball up', 'barbershop', 'blt', 'bobble', 'bodge', 'bog', 'bogging', 'boh', 'boil up', 'bollix', 'bollix up', 'bollocks', 'bollocks up', 'booth', 'botch', 'botch up']","{'refusing pick in a': ['tease', 'balking', 'boycott', 'denied', 'have', 'intolerant', 'mugwump', 'nonjuror', 'pass', 'passed', 'refusal', 'ali', 'cling', 'hang', 'mistake', 'mute', 'negative', 'not', 'ostrich', 'smith', 'dunker', 'ratting', 'religion', 'snow', 'unrelenting', 'clinging', 'indifferent', 'martyr', 'cull', 'dip', 'dispute', 'dust', 'erase', 'garble', 'ignore', 'intercept', 'issue', 'lift', 'luft', 'make', 'quit', 'receive', 'reject', 'rejected', 'retract', 'salvage', 'smap', 'snap', 'wale', 'aak']}",0.68
You ignoring someone who is speaking.,negative,uncooperative,Ignoring someone who is speaking.,you ignoring someone speaking,ignoring,ignoring you, ,,to talk to people,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['funny'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'persony', 'happy'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy']]","['shut', 'snub', 'overhear', 'gag', 'interrupt', 'overhearing', 'spic', 'dictation', 'representation', 'heckle', 'shutting', 'skip', 'deaf', 'slight', 'neglect', 'oblivion', 'egotism', 'wholesale', 'individualism', 'ostracized', 'length', 'silence', 'silent', 'accident', 'libelous', 'overlook', 'religion', 'talkative', 'apophasis', 'contradict', 'contradicted', 'negation', 'overgeneralize', 'particular', 'preterition', 'semi-pelagian', 'talk down', 'universal', 'vagrant', 'amnestied', 'amnesty', 'apology', 'censoring', 'contract', 'credulity', 'die', 'forget', 'joke', 'plea', 'qualify', 'qualifying', 'recusant', 'slack', 'support', 'fisher', 'abstract', 'abstraction', 'averse', 'balk', 'careful', 'equity', 'huff', 'huffing', 'indefinable', 'lapse', 'neglected', 'not', 'palindrome', 'prop', 'propping', 'refusal', 'revive', 'revoke', 'unsafe', 'mute', 'miss', 'say', 'strike', 'blasphemy', 'elide', 'error', 'general', 'sink', 'law', 'break', 'slip', 'waste', 'bend', 'cad', 'eat', 'eats', 'eye', 'jump', 'mugwump', 'pass', 'snob', 'fluff', 'open', 'skipping', 'sputter']","{'ignoring someone who is': ['snub', 'slight', 'amnesia', 'deaf', 'neglect', 'heedlessness', 'licentious', 'oblivion', 'skip', 'shunt', 'empiric', 'individualism', 'abed', 'cushion', 'dissolute', 'egotism', 'secularism', 'shunted', 'wholesale', 'accident', 'adiabolist', 'bend', 'cad', 'consolation', 'cuckold', 'cut', 'delinquent', 'derelict', 'dismissal', 'displeasure', 'dodo', 'eat', 'eats', 'estop', 'eye', 'fail', 'failure', 'invisible', 'jump', 'libelous', 'limpet', 'loser', 'martyr', 'memorial', 'mugwump', 'nap', 'negligence', 'nerve', 'nonstarter', 'overlook']}",0.8
You trying to take complete control of a group.,negative,uncooperative,Trying to take complete control of a group.,you trying take complete control group,trying,trying you, ,,to relax,"[['none'], ['have', 'fun'], ['mean'], ['win'], ['have', 'a', 'good', 'time'], ['play'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'the', 'other', 'person', 'feel', 'better']]","['bowling', 'cadre', 'lead', 'placebo', 'monopoly', 'controlled', 'controlling', 'hold', 'direct', 'draw', 'power', 'wind', 'carry', 'strings', 'strangle', 'charge', 'ownership', 'string', 'stringing', 'master', 'interest', 'politics', 'commander', 'powered', 'team', 'round', 'rounds', 'controls', 'oligarchy', 'sleep', 'party', 'trust', 'discipline', 'norm', 'hand', 'director', 'machine', 'machined', 'accept', 'insurgency', 'battle', 'lobbies', 'lobby', 'lobbying', 'mutiny', 'sew', 'seq', 'sewed', 'sewn', 'law', 'break', 'assume', 'seize', 'possess', 'figure', 'sovereignty', 'tackle', 'strike', 'possessed', 'socialized', 'hostile', 'frame', 'come', 'get', 'set', 'figuring', 'judicial', 'usurp', 'black', 'elevator', 'call', 'syndicate', 'custody', 'dictator', 'tug', 'tugging', 'help', 'chain', 'force', 'forces', 'picket', 'hard', 'lock', 'paralysis', 'cross', 'persuasion', 'arrogate', 'capture', 'hack', 'locking', 'locks', 'mob', 'field', 'flied', 'subversion', 'exclusive', 'trip', 'cynic', 'mess', 'harness']","{'trying take control of a': ['cool', 'nerveless', 'confidence', 'flood control', 'lead', 'hostile', 'carry', 'custody', 'direct', 'hand', 'harness', 'hold', 'tackle', 'baseball', 'paparazzo', 'ball', 'cricket', 'coolheaded', 'baseball game', 'assume', 'seize', 'usurp', 'arrogate', 'obsess', 'possess', 'capture', 'directing', 'directionally', 'grip', 'possessed', 'take over', 'takeover', 'airport', 'pivot foot', 'skyjack', 'statistical process control', 'insurgency', 'spyware', 'takeover attempt', 'call', 'come', 'grasp', 'initiative', 'judge', 'keep', 'touch', 'break', 'get', 'law', 'touched']}",0.87
You refusing to do assigned chores.,negative,uncooperative,Refusing to do assigned chores.,you refusing assigned chores,refusing,refusing you, ,,to be helpful,"[['none'], ['a', 'good', 'friend'], ['help'], ['helpful'], ['a', 'good', 'person'], ['make', 'a', 'good', 'impression'], ['make', 'someone', 'happy'], ['a', 'good', 'employee'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend', '.']]","['act', 'acy', 'dotage', 'myxedema', 'myxoedema', 'psychanalysis', 'sct', 'beats', 'turn', 'turned', 'antagonist', 'cancel', 'cancelled', 'delinquency', 'outage', 'rat', 'rats', 'secularism', 'sloth', 'strike', 'surcharge', 'surcharged', 'tension', 'see', 'attribute', 'call', 'load', 'put', 'set', 'apostle', 'assiduity', 'bill', 'case', 'censoring', 'cuts', 'decadent', 'degradation', 'det', 'disability', 'effective', 'entropy', 'fem', 'fen', 'fly', 'ground', 'grounded', 'limitation', 'methodist', 'narrowing', 'pair', 'problem', 'reset', 'residence', 'scullery', 'sets', 'subject', 'success', 'surety', 'unit', 'universal', 'varnish', 'work', 'boycott', 'absenteeism', 'beat generation', 'beatniks', 'captopril', 'contrast', 'contrasted', 'contrasting', 'deaccession', 'derelict', 'dereliction', 'diptych', 'faineance', 'faithless', 'forgetful', 'heedlessness', 'idleness', 'inadvertence', 'inadvertency', 'kidney', 'lockout', 'monasticism', 'rejection slip', 'scab', 'spengler', 'unmindfulness', 'work stoppage', 'workload', 'maid', 'char', 'charring', 'chore', 'footman', 'assign', 'home', 'domestic', 'dos', 'housekeeping']","{'refusing do assigned': ['disobedient', 'inexorable', 'persistent', 'assignment', 'homework problem', 'balking', 'balky', 'disobedience', 'have', 'pass', 'denial', 'noncommittal', 'nonconforming', 'recusant', 'negative', 'mute', 'holdout', 'ratting', 'default', 'attribute', 'load', 'oost', 'post', 'who', 'clas', 'tease', 'religion', 'zone', 'accountability', 'act', 'acy', 'alarm', 'balk', 'cut', 'cuts', 'delinquent', 'failure', 'forfeit', 'forfeited', 'forfeits', 'law', 'miss', 'missed', 'misses', 'negativism', 'negligence', 'pair', 'reject', 'sct', 'secure']}",0.77
You never offering to be the nights designated driver.,negative,uncooperative,Never offering to be the nights designated driver.,you never offering nights designated driver,offering,offering you, ,5.67,to get to work.,"[['none'], ['have', 'fun'], ['mean'], ['with', 'someone'], ['with', 'person'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time', '.'], ['get', 'to', 'know', 'them']]","['night', 'bellman', 'teh', 'the', 'help', 'advert', 'horn', 'coefficient', 'run', 'span', 'devil', 'level', 'good', 'lease', 'small', 'soda', 'cocoa', 'cola', 'calorimeter', 'who', 'head', 'airspace', 'adapa', 'anchor light', 'sir', 'tiki', 'one', 'ministerium', 'accuse', 'acquaint', 'architect', 'dispensatory', 'innovate', 'madrigal', 'oath', 'plenteous', 'put', 'represent', 'represented', 'sigillaria', 'coach', 'element', 'eve', 'heads', 'horae', 'progression', 'tiger', 'encore', 'news', 'pentecost', 'hand', 'add', 'adf', 'asd', 'hornbook', 'mine', 'oyez', 'sink', 'strike', 'lengthen', 'like', 'liked', 'see', 'doll', 'behavior', 'blow', 'far', 'fsr', 'gimbals', 'header', 'watch', 'end', 'timed', 'timing', 'spanker', 'for', 'jewel', 'jewelled', 'jewels', 'kib', 'kin', 'fore', 'capital', 'repeat', 'word', 'antediluvian', 'battle', 'calendar', 'horse', 'man', 'noble', 'over', 'tandem', 'bread', 'omelet', 'religion', 'suite', 'day', 'certain', 'hang']","{'offering nights driver': ['calorimeter', 'subscribe', 'run', 'cockpit', 'dashboard', 'bellman', 'binnacle', 'blind', 'candid', 'chlorofluorocarbon', 'concertize', 'decibel', 'liberality', 'light year', 'milkman', 'repo', 'train', 'trunk', 'trunking', 'trunks', 'answer', 'art', 'help', 'tour', 'hood', 'monkey', 'santa', 'cup', 'valise', 'advert', 'ane', 'boot', 'delivered', 'devise', 'differential', 'drop', 'fdr', 'fire', 'for', 'former', 'knight', 'mail', 'open', 'patent', 'purchase', 'receive', 'received', 'straddle', 'stretch', 'spanker']}",0.91
You interrupting another in a conversation because their opinions oppose your own.,negative,uncooperative,Interrupting another in a conversation because their opinions oppose your own.,you interrupting another conversation opinions oppose,interrupting,interrupting you, ,3.26,to be stubborn.,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['with', 'persony'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'persony', 'happy'], ['have', 'a', 'relationship'], ['make', 'the', 'other', 'person', 'happy']]","['intercept', 'break', 'interrupt', 'controvert', 'dispute', 'disputed', 'disputing', 'candid', 'hang', 'run', 'talk', 'contact', 'interpose', 'converse', 'conversing', 'divide', 'contacts', 'jar', 'jarred', 'jsr', 'diverge', 'piece', 'piecing', 'slave', 'analysis', 'other', 'pity', 'edgeways', 'caesura', 'side', 'dialogue', 'interview', 'friction', 'barracking', 'reason', 'egotism', 'echo', 'tradition', 'interviewer', 'tosa', 'toss', 'intrude', 'pair', 'gap', 'desultory', 'polemic', 'communicate', 'convert', 'independent', 'guard', 'reaction', 'stop', 'horae', 'horse', 'negative', 'take', 'declare', 'chime', 'chiming', 'drop', 'switch', 'cross', 'snap', 'stops', 'cast', 'raise', 'casted', 'sin', 'tongue', 'block', 'tackle', 'disband', 'strike', 'all', 'cuts', 'hold', 'disturbance', 'puddle', 'exploded', 'back', 'bak', 'nack', 'remora', 'halt', 'breakup', 'continuity', 'stutter', 'speak', 'twist', 'call', 'discussion', 'open', 'heart', 'delicate', 'broach', 'broached', 'ear', 'offset', 'beat', 'beats']","{'interrupting oppose their': ['impose', 'stride', 'strides', 'striding', 'possessive', 'take', 'reaction', 'break', 'cross', 'horae', 'horse', 'hindering', 'negative', 'disobey', 'face', 'resistance', 'guard', 'disease', 'tongue', 'disorderly conduct', 'candid', 'overlap', 'hacker', 'block', 'cast', 'casted', 'crash', 'percussion', 'smap', 'snap', 'station', 'stops', 'barrage', 'divide', 'electrode', 'gallows', 'iconoclasm', 'long', 'luddite', 'outrage', 'raise', 'standing', 'stationing', 'stations', 'strength', 'tackle', 'violate', 'violated', 'breaker', 'crush']}",0.74
You not wanting to talk when someone else needs you to.,negative,uncooperative,Not wanting to talk when someone else needs you to.,you wanting talk someone else needs,wanting,wanting you, ,6.0,to release he feelings,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['a', 'good', 'friend'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'persony', 'happy'], ['make', 'the', 'other', 'person', 'happy']]","['gossip', 'requisition', 'pass', 'call', 'turn', 'lift', 'tender', 'run', 'runs', 'floater', 'cru', 'cry', 'come', 'guarantee', 'obsequious', 'preempt', 'walk', 'reserve', 'voice', 'hold', 'dictate', 'recall', 'creature', 'follow', 'bend', 'placed', 'placing', 'book', 'suit', 'assault', 'experience', 'help', 'hostage', 'independent', 'mockery', 'one', 'point', 'reserves', 'ride', 'self', 'bended', 'bends', 'bens', 'shunt', 'booking', 'books', 'drive', 'scoop', 'talking', 'lust', 'plagiarize', 'scrounge', 'envy', 'lawyer', 'spell', 'emissary', 'hypnosis', 'imitation', 'desert', 'violence', 'thief', 'emulation', 'plagiarise', 'plagiarized', 'abandon', 'desolate', 'ghost', 'negligence', 'words', 'projection', 'luft', 'set', 'shipmate', 'brother', 'repeat', 'yield', 'project', 'release', 'tool', 'sell', 'gloat', 'shotgun', 'interrupt', 'carrier', 'grudge', 'cropper', 'throw', 'commend', 'using', 'level', 'something', 'advocate', 'autonomy', 'introduced', 'common', 'dine out', 'alternative', 'beat', 'others', 'passed']","{'wanting talk needs else': ['lust', 'want', 'greed', 'will', 'full', 'blind', 'blinds', 'good', 'spare', 'flat', 'less', 'down', 'lack', 'lacking', 'pine', 'poor', 'shanghai', 'serve', 'satisfy', 'hunger', 'free', 'freeing', 'mess', 'need', 'needing', 'nerd', 'occasions', 'suffice', 'mean', 'means', 'bare', 'reserve', 'right', 'arid', 'crave', 'hard', 'incapable', 'jejune', 'miss', 'missed', 'misses', 'string', 'stringing', 'strings', 'contingency', 'bend', 'bended', 'bends', 'bens', 'call']}",0.72
You yelling at your parents when you are late for curfew.,negative,uncooperative,Yelling at your parents when you are late for curfew.,you yelling parents late curfew,yelling,yelling you, ,3.58,to get back on their feet,"[['none'], ['mean'], ['win'], ['have', 'fun'], ['with', 'someone'], ['hurt', 'someone'], ['hurt', 'the', 'other', 'person'], ['have', 'a', 'good', 'time'], ['make', 'someone', 'laugh'], ['make', 'a', 'good', 'impression']]","['give', 'duty', 'land', 'taps', 'miss', 'face', 'short', 'shorts', 'fast', 'fasting', 'contact', 'focus', 'mockingbird', 'peekaboo', 'bawl', 'happy', 'raven', 'roar', 'smap', 'snap', 'turn', 'night', 'come', 'get', 'boo', 'catch', 'last', 'blood', 'chip', 'home', 'mom', 'names', 'papa', 'report', 'teen', 'uncle', 'unhappy', 'still', 'aim', 'alas', 'amen', 'bay', 'bell', 'bells', 'bittern', 'boar', 'call', 'charge', 'clear', 'crow', 'cuckoo', 'curlew', 'dada', 'echo', 'far', 'float', 'fore', 'glad', 'horn', 'howl', 'howler', 'lapwing', 'next', 'rhythm method', 'safe', 'semivowel', 'skip', 'spat', 'taxi', 'yawl', 'demand', 'demanding', 'full', 'stilled', 'all', 'day', 'old', 'over', 'pale', 'pales', 'then', 'time', 'eli', 'hurry', 'save', 'advocate', 'ale', 'angevin', 'ape', 'aria', 'bang', 'banshee', 'belt', 'boom', 'bow', 'bugle', 'bundling', 'cain', 'cat', 'celebrate']","{'yelling late for': ['shouting', 'cry', 'shout', 'audible', 'face', 'faces', 'short', 'shorts', 'shut', 'singing', 'boo', 'catch', 'down', 'gone', 'last', 'march', 'mockingbird', 'night', 'screamo', 'soho', 'paton', 'acclaim', 'acclaimed', 'agitation', 'aha', 'aim', 'alas', 'amen', 'applaud', 'applauding', 'area code', 'auction', 'avail', 'availing', 'balk', 'balking', 'bawl', 'bay', 'bead', 'beads', 'bell', 'belling', 'bellow', 'bells', 'bewail', 'bittern', 'blessed', 'boar', 'booing', 'booming']}",1.0
You leaving in the middle of a discussion.,negative,uncooperative,Leaving in the middle of a discussion.,you leaving middle discussion,leaving,leaving you, ,,the project to succeed.,"[['none'], ['noticed'], ['@@UNKNOWN@@'], ['have', 'fun'], ['get', 'attention'], ['with', 'someone'], ['get', 'revenge'], ['make', 'a', 'prank'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'a', 'decision']]","['iroquois', 'interject', 'start', 'toss', 'aposiopesis', 'deliver', 'escape', 'evaporate', 'exit', 'get', 'iff', 'off', 'pff', 'leave', 'road', 'run', 'all', 'elliptic', 'runs', 'burke', 'clock', 'departure', 'escaped', 'fare', 'let', 'plasma', 'put', 'quit', 'set', 'shove', 'summary', 'soft', 'hedge', 'nidatory', 'panel', 'broach', 'broached', 'center', 'iron', 'ironed', 'irons', 'mark', 'processing', 'animated', 'break', 'focus', 'have', 'introduction', 'lead', 'offer', 'passage', 'speak', 'study', 'talk', 'turn', 'argument', 'bag', 'moderate', 'point', 'table', 'case', 'deal', 'era', 'ordovician', 'tables', 'diagram', 'diagramming', 'argue', 'counsel', 'drag', 'end', 'initiate', 'issue', 'open', 'pass', 'passed', 'right', 'rights', 'strat', 'temporize', 'thought', 'upping', 'ups', 'centre', 'coltsfoot', 'grant', 'grants', 'heart', 'henna', 'man', 'medium', 'mod', 'mode', 'mods', 'mof', 'processed', 'ruse', 'syncope', 'temper', 'the']","{'leaving middle of a': ['iroquois', 'leave', 'parking', 'part', 'run', 'split', 'aposiopesis', 'between', 'hawala', 'road', 'all', 'clearing', 'elliptic', 'evenly', 'figure', 'knot', 'knotting', 'register', 'runs', 'spring', 'figuring', 'tabor', 'access', 'aperture', 'ash', 'big', 'burke', 'cession', 'clock', 'cut in', 'deliver', 'departure', 'derailment', 'det', 'egress', 'ellipsis', 'escape', 'escaped', 'evaporate', 'exit', 'fare', 'feather', 'forsake', 'forsaken', 'forsaking', 'gate', 'gating', 'get', 'gild', 'gilded']}",0.71
You skipping scheduled appointments.,negative,uncooperative,Skipping scheduled appointments.,you skipping scheduled appointments,skipping,skipping you, ,4.76,to get paid,"[['none'], ['mean'], ['have', 'fun'], ['@@UNKNOWN@@'], ['a', 'good', 'friend'], ['the', 'best'], ['a', '@@UNKNOWN@@'], ['make', 'the', 'other', 'person', 'happy'], ['make', 'the', 'other', 'person', 'feel', 'better'], ['get', 'to', 'know', 'the', 'other', 'person']]","['dance', 'economy', 'secularism', 'shot', 'solitaire', 'aut', 'conventionalized', 'conventionalizw', 'crossbar', 'differentiation', 'life', 'out', 'shaker', 'supercomputer', 'late', 'balance', 'balancing', 'gneiss', 'meet', 'arthur', 'interval', 'turn', 'assembly', 'base', 'call', 'day', 'elder', 'elope', 'employment', 'era', 'fate', 'job', 'kernel', 'lead', 'pair', 'point', 'potlatch', 'preparation', 'remains', 'rock', 'rocks', 'secession', 'self-induction', 'solid', 'stops', 'succession', 'tax', 'teens', 'template', 'desultory', 'hop', 'hops', 'hopscotch', 'omission', 'skim', 'skimmed', 'evil', 'rope', 'skip', 'amygdalin', 'beat generation', 'betrayal', 'casino', 'dance hall', 'do-si-do', 'egotism', 'folk', 'grand-', 'hoppestere', 'mosh', 'nieces', 'pantomime', 'partner', 'rosales', 'split shift', 'teas', 'theurgy', 'abiogenesis', 'acro', 'ale', 'alr', 'ambulatory', 'amendment', 'ankh', 'announce', 'art rock', 'baby-boom generation', 'baby boom', 'baby jumper', 'ballroom', 'barn dance', 'beer', 'bitter', 'blinker', 'blow', 'break', 'buck', 'button', 'cabaret', 'castanet']","{'You skipping scheduled': ['desultory', 'hop', 'hops', 'hopscotch', 'omission', 'skim', 'skimmed', 'evil', 'rope', 'skip', 'late', 'abiogenesis', 'acro', 'ale', 'alr', 'ambulatory', 'amendment', 'ankh', 'announce', 'art rock', 'baby-boom generation', 'baby boom', 'baby jumper', 'balance', 'balancing', 'ballroom', 'barn dance', 'beer', 'bitter', 'blinker', 'blow', 'break', 'buck', 'button', 'cabaret', 'castanet', 'clobbered', 'clock', 'code', 'combination', 'consumptive', 'coupee', 'crack', 'dance', 'dancer', 'decomposer', 'degeneration', 'dinner', 'disco', 'discontinuous']}",0.77
You refusing to speak during a group oral presentation.,negative,uncooperative,Refusing to speak during a group oral presentation.,you refusing speak group oral presentation,refusing,refusing you, ,,to be stubborn.,"[['none'], ['have', 'fun'], ['mean'], ['with', 'someone'], ['@@UNKNOWN@@'], ['play'], ['get', 'attention'], ['make', 'friends'], ['make', 'a', 'prank'], ['have', 'a', 'good', 'time']]","['deaf', 'flock', 'flocking', 'glock', 'traverse', 'debate', 'statement', 'test', 'act', 'tale', 'issue', 'talk', 'object', 'default', 'nonappearance', 'discourse', 'stipulate', 'cast', 'front', 'fronting', 'folklore', 'like', 'liked', 'mak', 'pleading', 'cover', 'covers', 'word', 'that', 'release', 'speaking', 'ascidioidea', 'table', 'tables', 'perform', 'performing', 'relation', 'tableau', 'pass', 'purana', 'negative', 'consent', 'consenting', 'boycott', 'passed', 'declension', 'not', 'holdout', 'refusal', 'plea', 'have', 'denial', 'chorus', 'floor', 'dispute', 'disputed', 'disputing', 'apology', 'inflect', 'trafficking', 'argue', 'manner', 'offer', 'debated', 'sadducee', 'dismiss', 'failure', 'litotes', 'bid', 'modality', 'eat', 'protest', 'support', 'vote', 'plead', 'pleaded', 'silence', 'opposite', 'limb', 'bolt', 'pietist', 'plebiscite', 'protestation', 'put', 'university', 'scout', 'descent', 'litter', 'receive', 'received', 'reservation', 'oost', 'post', 'posted', 'androgenesis', 'collapse', 'decline', 'fall', 'game', 'miss']","{'refusing speak during a group oral': ['ebionite', 'negative', 'sadducee', 'flock', 'flocking', 'glock', 'default', 'mull', 'discourse', 'fail', 'traffic', 'trafficking', 'power', 'dee', 'test', 'head', 'vestibule', 'folklore', 'front', 'fronting', 'debate', 'state', 'jaw', 'put', 'consent', 'consenting', 'talk', 'cover', 'covers', 'clas', 'like', 'liked', 'mak', 'aut', 'word', 'conservative', 'that', 'blank', 'blanking', 'nazarene', 'tale', 'psychosexual development', 'ascidioidea', 'purana', 'deaf', 'picket', 'watergate', 'floor', 'amniote', 'patter']}",0.79
You not helping out because you don't enjoy the present task.,negative,uncooperative,Not helping out because you don't enjoy the present task.,you helping enjoy present task,helping,helping you, ,6.95,to relax,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['angry'], ['mean', '.'], ['feel', 'good'], ['a', 'good', 'friend'], ['do', 'something', 'else'], ['make', 'a', 'good', 'impression']]","['gift', 'share', 'hand', 'care', 'help', 'handing', 'support', 'charity', 'heuristic', 'maintenance', 'portion', 'second', 'seconds', 'service', 'spell', 'serve', 'aid', 'aided', 'aif', 'aud', 'caring', 'contribution', 'feeder', 'good', 'leg', 'propaganda', 'slice', 'assist', 'assisted', 'pat', 'take', 'assistance', 'auxiliary', 'dose', 'helps', 'horae', 'horse', 'pile', 'ration', 'succor', 'keep', 'keeps', 'bowl', 'trust', 'used', 'admit', 'benefit', 'inherit', 'leverage', 'rock', 'shared', 'sharing', 'taste', 'steal', 'boost', 'contributory', 'back', 'example', 'raising', 'bend', 'bended', 'bends', 'bens', 'brigade', 'dall', 'drag', 'fall', 'falls', 'lesson', 'meal', 'relieve', 'relieved', 'tool', 'train', 'note', 'lift', 'luft', 'call', 'set', 'turn', 'turned', 'ease', 'program', 'crib', 'cribbed', 'device', 'machine', 'machined', 'shoulder', 'staff', 'staffed', 'staffing', 'unit', 'utility', 'get', 'steals', 'act', 'bak', 'blocking', 'bolt']","{'helping enjoy the present': ['share', 'assist', 'assisted', 'hand', 'handing', 'help', 'serve', 'support', 'care', 'charity', 'heuristic', 'leg', 'maintenance', 'pat', 'portion', 'second', 'seconds', 'service', 'spell', 'sweep', 'assistance', 'assisting', 'dish', 'aid', 'aided', 'aif', 'aud', 'auxiliary', 'caring', 'contribution', 'dose', 'feeder', 'good', 'helped', 'helps', 'hired', 'horae', 'horse', 'pile', 'propaganda', 'ration', 'slice', 'succor', 'get', 'keep', 'keeps', 'sled', 'steal', 'steals', 'take']}",0.83
You not buckling your seat belt like your mom asked.,negative,uncooperative,Not buckling your seat belt like your mom asked.,you buckling seat belt like mom asked,buckling,buckling you, ,,to have hassle free travel,"[['none'], ['mean'], ['a', 'good', 'friend'], ['help'], ['have', 'fun'], ['a', '@@UNKNOWN@@'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time'], ['them', 'to', 'be', 'happy'], ['them', 'to', 'have', 'fun']]","['strap', 'buckle', 'lap', 'safety belt', 'stock', 'stocked', 'stocks', 'heart', 'sash', 'keyboard', 'keyboarding', 'safety', 'chap', 'surcingle', 'steel', 'cohomology', 'chapped', 'girdle', 'gate', 'gating', 'wash', 'under', 'bolt', 'head', 'dragon', 'bend', 'press', 'pressed', 'block', 'sheath', 'touch', 'key', 'keying', 'keys', 'home', 'rise', 'touched', 'trail', 'shop', 'shopping', 'rose', 'casserole', 'dig', 'kuiper', 'harness', 'homey', 'spank', 'release', 'gate-crasher', 'hearts', 'security', 'seat belt', 'slide', 'assembly line', 'festoon', 'restraint', 'escalator', 'cingulum', 'traction wheel', 'splint', 'obi', 'adjustable', 'foal', 'saddle', 'chock', 'banquette', 'brougham', 'chair', 'stool', 'slat', 'allocution', 'hopper', 'pendant', 'tip', 'tipped', 'swash', 'search', 'very', 'son', 'question', 'child', 'put', 'planned', 'strapped', 'galatea', 'semi-arian', 'aspic', 'first person', 'manna', 'scaphism', 'straw man', 'loop', 'chignon', 'pygmalion', 'ade', 'foundation', 'keep', 'keeps', 'hit', 'parking']","{'buckling like your asked': ['discount', 'how', 'safe', 'read', 'tongue', 'keys', 'snap', 'stock', 'stocks', 'smap', 'survey', 'fold', 'gate-crasher', 'buckle', 'sash', 'highness', 'mine', 'beeswax', 'bucket', 'distance', 'distancing', 'even', 'poison', 'serene', 'welding', 'gelasin', 'mastership', 'photomask', 'warpage', 'wash', 'hopper', 'strap', 'bobbin', 'chock', 'steel', 'steels', 'spin', 'price', 'gate', 'duty', 'circle', 'fibula', 'key', 'keying', 'loop', 'press', 'pressed', 'stocked', 'twist', 'pendant']}",0.87
